# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-a" "../reference/GCF_000006745.1_ASM674v1_genomic.gff" "-o" "../counts/counts.txt" "-g" "ID" "sample_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	sample_sorted.bam
exon-VC_RS00270-1	NC_002505.1	53816	55358	+	1543	0
exon-VC_RS00275-1	NC_002505.1	55421	55496	+	76	2
exon-VC_RS00280-1	NC_002505.1	55784	58670	+	2887	1
exon-VC_RS00285-1	NC_002505.1	58800	58915	+	116	0
exon-VC_RS00290-1	NC_002505.1	58941	59017	+	77	0
exon-VC_RS00295-1	NC_002505.1	59047	59123	+	77	0
exon-VC_RS00735-1	NC_002505.1	151052	152594	+	1543	8
exon-VC_RS00740-1	NC_002505.1	152663	152738	+	76	0
exon-VC_RS00745-1	NC_002505.1	153026	155912	+	2887	0
exon-VC_RS00750-1	NC_002505.1	156043	156158	+	116	0
exon-VC_RS00755-1	NC_002505.1	156206	156296	+	91	0
exon-VC_RS00800-1	NC_002505.1	167187	167263	+	77	0
exon-VC_RS00805-1	NC_002505.1	167299	167374	+	76	0
exon-VC_RS00810-1	NC_002505.1	167436	167512	+	77	0
exon-VC_RS00815-1	NC_002505.1	167583	167658	+	76	0
exon-VC_RS00820-1	NC_002505.1	167720	167796	+	77	0
exon-VC_RS01505-1	NC_002505.1	324140	325682	+	1543	9
exon-VC_RS01510-1	NC_002505.1	325745	325821	+	77	0
exon-VC_RS01515-1	NC_002505.1	325830	325905	+	76	0
exon-VC_RS01520-1	NC_002505.1	326193	329079	+	2887	0
exon-VC_RS01525-1	NC_002505.1	329209	329324	+	116	0
exon-VC_RS01530-1	NC_002505.1	329350	329426	+	77	0
exon-VC_RS01560-1	NC_002505.1	334819	334894	+	76	0
exon-VC_RS01565-1	NC_002505.1	334930	335014	+	85	0
exon-VC_RS01570-1	NC_002505.1	335050	335124	+	75	0
exon-VC_RS01575-1	NC_002505.1	335138	335213	+	76	0
exon-VC_RS01685-1	NC_002505.1	361861	361936	+	76	0
exon-VC_RS01690-1	NC_002505.1	361971	362046	+	76	0
exon-VC_RS01695-1	NC_002505.1	362203	362278	+	76	0
exon-VC_RS01700-1	NC_002505.1	362318	362394	+	77	0
exon-VC_RS01705-1	NC_002505.1	362429	362504	+	76	0
exon-VC_RS01710-1	NC_002505.1	362691	362767	+	77	0
exon-VC_RS01715-1	NC_002505.1	362810	362886	+	77	8
exon-VC_RS01720-1	NC_002505.1	362929	363005	+	77	0
exon-VC_RS01940-1	NC_002505.1	401744	403287	+	1544	0
exon-VC_RS01945-1	NC_002505.1	403350	403426	+	77	0
exon-VC_RS01950-1	NC_002505.1	403435	403511	+	77	0
exon-VC_RS01955-1	NC_002505.1	403799	406685	+	2887	15
exon-VC_RS01960-1	NC_002505.1	406815	406930	+	116	0
exon-VC_RS01965-1	NC_002505.1	406956	407032	+	77	0
exon-VC_RS02260-1	NC_002505.1	478401	478476	-	76	0
exon-VC_RS02265-1	NC_002505.1	478491	478566	-	76	0
exon-VC_RS02270-1	NC_002505.1	478595	478670	-	76	0
exon-VC_RS02275-1	NC_002505.1	478686	478761	-	76	0
exon-VC_RS02280-1	NC_002505.1	478803	478878	-	76	0
exon-VC_RS02290-1	NC_002505.1	481175	481250	-	76	0
exon-VC_RS02295-1	NC_002505.1	481288	481363	-	76	0
exon-VC_RS02300-1	NC_002505.1	481374	481449	-	76	0
exon-VC_RS02305-1	NC_002505.1	481498	481573	-	76	0
exon-VC_RS02625-1	NC_002505.1	550187	550262	-	76	0
exon-VC_RS02780-1	NC_002505.1	580968	581060	+	93	0
exon-VC_RS02785-1	NC_002505.1	581094	581170	+	77	0
exon-VC_RS02790-1	NC_002505.1	581193	581285	+	93	0
exon-VC_RS02795-1	NC_002505.1	581352	581428	+	77	0
exon-VC_RS02800-1	NC_002505.1	581484	581560	+	77	0
exon-VC_RS02805-1	NC_002505.1	581633	581709	+	77	0
exon-VC_RS02810-1	NC_002505.1	581766	581842	+	77	0
exon-VC_RS02815-1	NC_002505.1	581914	581990	+	77	0
exon-VC_RS03240-1	NC_002505.1	682928	683011	+	84	0
exon-VC_RS03245-1	NC_002505.1	683065	683141	+	77	0
exon-VC_RS03580-1	NC_002505.1	762768	764310	+	1543	3
exon-VC_RS03585-1	NC_002505.1	764379	764454	+	76	0
exon-VC_RS03590-1	NC_002505.1	764742	767627	+	2886	2
exon-VC_RS03595-1	NC_002505.1	767757	767872	+	116	0
exon-VC_RS03600-1	NC_002505.1	767948	768024	+	77	0
exon-VC_RS04225-1	NC_002505.1	914291	914657	-	367	0
exon-VC_RS04520-1	NC_002505.1	973171	973255	-	85	0
exon-VC_RS04525-1	NC_002505.1	973340	973424	-	85	0
exon-VC_RS04530-1	NC_002505.1	973509	973593	-	85	0
exon-VC_RS04535-1	NC_002505.1	973679	973763	-	85	0
exon-VC_RS05020-1	NC_002505.1	1087128	1087203	-	76	0
exon-VC_RS05250-1	NC_002505.1	1135447	1135543	+	97	0
exon-VC_RS05955-1	NC_002505.1	1293914	1293987	+	74	0
exon-VC_RS05960-1	NC_002505.1	1293990	1294065	+	76	0
exon-VC_RS05965-1	NC_002505.1	1294130	1294216	+	87	0
exon-VC_RS05970-1	NC_002505.1	1294227	1294302	+	76	0
exon-VC_RS07725-1	NC_002505.1	1712295	1712371	-	77	0
exon-VC_RS07730-1	NC_002505.1	1712393	1712469	-	77	4
exon-VC_RS08480-1	NC_002505.1	1895692	1895779	+	88	2
exon-VC_RS09360-1	NC_002505.1	2093320	2093396	-	77	0
exon-VC_RS09825-1	NC_002505.1	2199243	2199319	+	77	2
exon-VC_RS09830-1	NC_002505.1	2199484	2199574	+	91	0
exon-VC_RS10495-1	NC_002505.1	2330906	2330982	+	77	2
exon-VC_RS10500-1	NC_002505.1	2331011	2331096	+	86	0
exon-VC_RS10505-1	NC_002505.1	2331121	2331205	+	85	1
exon-VC_RS10510-1	NC_002505.1	2331233	2331307	+	75	0
exon-VC_RS10515-1	NC_002505.1	2331385	2331461	+	77	0
exon-VC_RS10520-1	NC_002505.1	2331485	2331570	+	86	0
exon-VC_RS10525-1	NC_002505.1	2331588	2331662	+	75	0
exon-VC_RS10530-1	NC_002505.1	2331704	2331788	+	85	0
exon-VC_RS10535-1	NC_002505.1	2331815	2331889	+	75	0
exon-VC_RS10540-1	NC_002505.1	2331931	2332015	+	85	0
exon-VC_RS10545-1	NC_002505.1	2332041	2332117	+	77	0
exon-VC_RS10550-1	NC_002505.1	2332140	2332225	+	86	0
exon-VC_RS10555-1	NC_002505.1	2332243	2332317	+	75	0
exon-VC_RS10560-1	NC_002505.1	2332361	2332445	+	85	0
exon-VC_RS10565-1	NC_002505.1	2332484	2332558	+	75	0
exon-VC_RS10570-1	NC_002505.1	2332600	2332684	+	85	0
exon-VC_RS10730-1	NC_002505.1	2375624	2375700	-	77	0
exon-VC_RS11610-1	NC_002505.1	2580716	2581117	-	402	0
exon-VC_RS11935-1	NC_002505.1	2658209	2658392	+	184	0
exon-VC_RS12015-1	NC_002505.1	2675959	2676074	-	116	0
exon-VC_RS12020-1	NC_002505.1	2676117	2676192	-	76	0
exon-VC_RS12025-1	NC_002505.1	2676241	2676356	-	116	0
exon-VC_RS12030-1	NC_002505.1	2676486	2679372	-	2887	7
exon-VC_RS12035-1	NC_002505.1	2679660	2679735	-	76	0
exon-VC_RS12040-1	NC_002505.1	2679744	2679820	-	77	0
exon-VC_RS12045-1	NC_002505.1	2679883	2681425	-	1543	2
exon-VC_RS12055-1	NC_002505.1	2683338	2683422	-	85	0
exon-VC_RS13255-1	NC_002505.1	2927796	2927872	-	77	0
exon-VC_RS13260-1	NC_002505.1	2927898	2928013	-	116	0
exon-VC_RS13265-1	NC_002505.1	2928143	2931031	-	2889	1
